Date,Open,Close,Adj Close,Volume,High_Low
2021-01-09,1216.72,1276.0,1276.0,1448871.11514,1304.37/1171.36
2021-01-10,1276.0,1254.25,1254.25,1951179.35003,1348.33/1170.0
2021-01-11,1254.24,1087.01,1087.01,4099450.90046,1260.0/915.0
2021-01-12,1087.0,1050.16,1050.16,2302645.34052,1150.02/1006.33
2021-01-13,1050.36,1129.89,1129.89,1564202.39081,1137.65/987.48
2021-01-14,1129.79,1231.62,1231.62,1555737.38556,1247.55/1086.7
2021-01-15,1231.89,1168.53,1168.53,1944038.83738,1256.98/1069.42
2021-01-16,1168.48,1227.83,1227.83,1575384.43797,1298.0/1151.77
2021-01-17,1227.83,1232.45,1232.45,1317285.00579,1269.02/1165.0
2021-01-18,1232.5,1258.45,1258.45,998050.11073,1260.75/1182.58
2021-01-19,1258.52,1365.36,1365.36,2278852.55758,1438.3/1251.49
2021-01-20,1365.36,1376.99,1376.99,2219137.62144,1407.93/1235.42
2021-01-21,1376.72,1110.96,1110.96,2310208.57298,1390.0/1086.0
2021-01-22,1111.98,1232.62,1232.62,2020593.21673,1273.79/1042.31
2021-01-23,1232.61,1233.6,1233.6,1009545.08258,1272.44/1195.9
2021-01-24,1233.46,1392.51,1392.51,1510879.53817,1398.83/1220.0
2021-01-25,1392.19,1317.88,1317.88,1885441.31289,1475.0/1293.69
2021-01-26,1317.6,1365.97,1365.97,1682923.65799,1378.49/1244.56
2021-01-27,1366.54,1239.03,1239.03,2009772.08358,1373.9/1207.0
2021-01-28,1238.93,1329.69,1329.69,1365269.71962,1360.0/1217.23
2021-01-29,1329.44,1379.5,1379.5,2253963.18682,1436.9/1285.35
2021-01-30,1379.56,1378.05,1378.05,1040042.2363,1406.0/1326.41
2021-01-31,1378.04,1312.55,1312.55,958704.85571,1380.74/1281.12
2021-02-01,1312.45,1374.17,1374.17,1096397.91862,1377.99/1269.99
2021-02-02,1374.09,1511.87,1511.87,1944227.99878,1547.9/1360.28
2021-02-03,1511.93,1664.49,1664.49,1535869.88801,1669.35/1508.39
2021-02-04,1664.67,1595.67,1595.67,1646502.32962,1695.2/1554.44
2021-02-05,1595.53,1719.19,1719.19,1194123.29946,1760.49/1591.0
2021-02-06,1718.95,1676.35,1676.35,1149808.33101,1743.67/1642.94
2021-02-07,1676.35,1611.62,1611.62,1281734.86814,1693.0/1490.46
2021-02-08,1611.46,1750.15,1750.15,1339777.09536,1775.57/1563.89
2021-02-09,1749.68,1769.13,1769.13,1185071.89593,1821.88/1708.49
